id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
48980,2018-09-30 1:03:00,CORRIENTES,21,0,1,Motocicleta,,2010,Privado,,,,,,,
49001,2018-10-09 11:00:00,CORRIENTES,21,0,1,Automóvil,,2011,Privado,,,,,,,
49001,2018-10-09 11:00:00,CORRIENTES,21,1,1,Motocicleta,,2012,Privado,,,,,,,
49026,2018-10-19 17:20:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49026,2018-10-19 17:20:00,CORRIENTES,21,1,1,Motocicleta,,2010,Privado,,,,,,,
49035,2018-10-22 9:10:00,CORRIENTES,21,0,1,Automóvil,,1992,Privado,,,,,,,
49041,2018-10-25 13:45:00,CORRIENTES,21,0,1,Motocicleta,,2016,Privado,,,,,,,
49041,2018-10-25 13:45:00,CORRIENTES,21,1,1,Automóvil,,2010,Privado,,,,,,,
49045,2018-10-27 1:55:00,CORRIENTES,21,0,1,Motocicleta,,2011,,,,,,,,
49045,2018-10-27 1:55:00,CORRIENTES,21,1,1,Transporte de pasajeros,,2017,Publico,,,,,,,
49046,2018-10-27 9:42:00,CORRIENTES,21,0,1,Automóvil,,2017,Privado,,,,,,,
49046,2018-10-27 9:42:00,CORRIENTES,21,1,1,Automóvil,,2015,Oficial,,,,,,,
49057,2018-10-30 18:15:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49057,2018-10-30 18:15:00,CORRIENTES,21,1,1,Transporte de carga,,2016,Privado,,,,,,,
49058,2018-10-31 9:45:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
49060,2018-11-01 9:00:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
49060,2018-11-01 9:00:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
49067,2018-11-03 6:35:00,CORRIENTES,21,0,1,Automóvil,,2005,Privado,,,,,,,
49077,2018-11-07 18:43:00,CORRIENTES,21,0,1,Automóvil,,2006,Privado,Pax,,,,,,
49087,2018-07-15 12:08:00,CORRIENTES,21,0,1,Motocicleta,,2017,Privado,,,,,,,
49094,2018-11-17 8:30:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
49094,2018-11-17 8:30:00,CORRIENTES,21,1,1,Motocicleta,,2013,Privado,,,,,,,
49096,2018-11-18 19:00:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49104,2018-11-21 22:45:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
49104,2018-11-21 22:45:00,CORRIENTES,21,1,1,Motocicleta,,1917,Privado,,,,,,,
49107,2018-11-22 12:50:00,CORRIENTES,21,0,1,Automóvil,,2013,,,,,,,,
49124,2018-12-01 9:10:00,CORRIENTES,21,0,2,Motocicleta,,2017,Privado,,,,,,,
49131,2018-12-03 17:20:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
